ZIP,X,Y,CITY,STATE,ZIPID
02155,-71.13333333,42.40444444,Medford,MA,39
02188,-70.95611111,42.2075,Weymouth,MA,40
02199,-71.07722222,42.34583333,Boston,MA,41
02210,-71.07138889,42.32944444,Boston,MA,42
02215,-71.12833333,42.32527778,Boston,MA,43
02332,-70.74805556,42.03277778,Duxbury,MA,44
02370,-70.92527778,42.11861111,Rockland,MA,45
02451,-71.24916667,42.37555556,Waltham,MA,46
02453,-71.24972222,42.37527778,Waltham,MA,47
02466,-71.23833333,42.34027778,Auburndale,MA,48
02467,-71.16333333,42.31222222,Chestnut Hill,MA,49
02481,-71.28027778,42.30666667,Wellesley Hills,MA,50
02493,-71.30611111,42.36305556,Weston,MA,51
02747,-71.01222222,41.66138889,North Dartmouth,MA,52
02766,-71.19305556,41.965,Norton,MA,53
02822,-71.53638889,41.58083333,Exeter,RI,54
02840,-71.31166667,41.49361111,Newport,RI,55
02903,-71.42055556,41.82416667,Providence,RI,56
02914,-71.37,41.81361111,East Providence,RI,57
02917,-71.53305556,41.92027778,Smithfield,RI,58
03054,-71.48944444,42.86583333,Merrimack,NH,59
03101,-71.48944444,42.96972222,Manchester,NH,60
03103,-71.45083333,42.96805556,Manchester,NH,61
03109,-71.44166667,42.95583333,Manchester,NH,62
03431,-72.27472222,42.93222222,Keene,NH,63
03755,-72.28944444,43.70222222,Hanover,NH,64
03766,-72.25055556,43.64222222,Lebanon,NH,65
03820,-70.87527778,43.19777778,Dover,NH,66
03906,-70.73805556,43.30666667,North Berwick,ME,67
04047,-70.88916667,43.80722222,Parsonsfield,ME,68
04092,-70.37472222,43.67916667,Westbrook,ME,69
04101,-70.26888889,43.65722222,Portland,ME,70
04276,-70.54333333,44.55888889,Rumford,ME,71
05401,-73.22055556,44.485,Burlington,VT,72
06032,-72.83194444,41.71972222,Farmington,CT,73
06033,-72.60805556,41.71222222,Glastonbury,CT,74
06035,-72.78861111,41.95388889,Granby,CT,75
06040,-72.52138889,41.77611111,Manchester,CT,76
06043,-72.43333333,41.76888889,Bolton,CT,77
06050,-72.77611111,41.67027778,New Britain,CT,78
06051,-72.7775,41.66611111,New Britain,CT,79
06062,-72.87555556,41.67,Plainville,CT,80
06082,-72.59166667,41.97694444,Enfield,CT,81
06084,-72.36861111,41.87138889,Tolland,CT,82
06091,-72.97055556,42.0075,West Hartland,CT,83
06095,-72.64361111,41.8525,Windsor,CT,84
06096,-72.62694444,41.92944444,Windsor Locks,CT,85
06102,-72.69055556,41.76416667,Hartford,CT,86
06103,-72.67944444,41.76805556,Hartford,CT,87
06105,-72.70666667,41.77111111,Hartford,CT,88
06106,-72.69555556,41.75305556,Hartford,CT,89
06108,-72.63777778,41.77222222,East Hartford,CT,90
06115,-72.69055556,41.76416667,Hartford,CT,91
06156,-72.68388889,41.76444444,Hartford,CT,92
06183,-72.68416667,41.76388889,Hartford,CT,93
06241,-71.8875,41.84638889,Dayville,CT,94
06269,-72.22888889,41.81416667,Storrs Mansfield,CT,95
06320,-72.09527778,41.35444444,New London,CT,96
06340,-72.07861111,41.35,Groton,CT,97
06349,-72.07833333,41.34972222,Groton,CT,98
06415,-72.33194444,41.57583333,Colchester,CT,99
06451,-72.78944444,41.54361111,Meriden,CT,100
06457,-72.65416667,41.56277778,Middletown,CT,101
06484,-73.09416667,41.31722222,Shelton,CT,102
06492,-72.82305556,41.45694444,Wallingford,CT,103
06510,-72.92361111,41.30722222,New Haven,CT,104
06516,-72.94138889,41.27805556,West Haven,CT,105
06517,-72.89666667,41.37888889,Hamden,CT,106
06524,-72.99694444,41.42166667,Bethany,CT,107
06615,-73.13305556,41.19805556,Stratford,CT,108
06810,-73.45388889,41.39472222,Danbury,CT,109
06814,-73.44805556,41.39388889,Danbury,CT,110
06824,-73.28111111,41.17527778,Fairfield,CT,111
06825,-73.24138889,41.19722222,Fairfield,CT,112
06830,-73.62527778,41.02861111,Greenwich,CT,113
06840,-73.49472222,41.14666667,New Canaan,CT,114
06851,-73.43722222,41.10333333,Norwalk,CT,115
06854,-73.42666667,41.09916667,Norwalk,CT,116
06870,-73.56472222,41.02277778,Old Greenwich,CT,117
06877,-73.49805556,41.28138889,Ridgefield,CT,118
06897,-73.43777778,41.19527778,Wilton,CT,119
06901,-73.53361111,41.045,Stamford,CT,120
06902,-73.54111111,41.0525,Stamford,CT,121
06903,-73.55861111,41.11222222,Stamford,CT,122
06927,-73.51666667,41.05138889,Stamford,CT,123
